ID1,-2,-2,-2,-0.090798
ID2,-2,-1.5556,-2,-0.11246
ID3,-2,-1.1111,-2,-0.13544
ID4,-2,-0.66667,-2,-0.15584
ID5,-2,-0.22222,-2,-0.1682
ID6,-2,0.22222,-2,-0.1682
ID7,-2,0.66667,-2,-0.15584
ID8,-2,1.1111,-2,-0.13544
ID9,-2,1.5556,-2,-0.11246
ID10,-2,2,-2,-0.090798
ID11,-1.5556,-2,-2,-0.084591
ID12,-1.5556,-1.5556,-2,-0.10764
ID13,-1.5556,-1.1111,-2,-0.1332
ID14,-1.5556,-0.66667,-2,-0.15683
ID15,-1.5556,-0.22222,-2,-0.17159
ID16,-1.5556,0.22222,-2,-0.17159
ID17,-1.5556,0.66667,-2,-0.15683
ID18,-1.5556,1.1111,-2,-0.1332
ID19,-1.5556,1.5556,-2,-0.10764
ID20,-1.5556,2,-2,-0.084591
ID21,-1.1111,-2,-2,-0.069948
ID22,-1.1111,-1.5556,-2,-0.091079
ID23,-1.1111,-1.1111,-2,-0.11534
ID24,-1.1111,-0.66667,-2,-0.13851
ID25,-1.1111,-0.22222,-2,-0.15331
ID26,-1.1111,0.22222,-2,-0.15331
ID27,-1.1111,0.66667,-2,-0.13851
ID28,-1.1111,1.1111,-2,-0.11534
ID29,-1.1111,1.5556,-2,-0.091079
ID30,-1.1111,2,-2,-0.069948
ID31,-0.66667,-2,-2,-0.04652
ID32,-0.66667,-1.5556,-2,-0.06157
ID33,-0.66667,-1.1111,-2,-0.079231
ID34,-0.66667,-0.66667,-2,-0.096417
ID35,-0.66667,-0.22222,-2,-0.10754
ID36,-0.66667,0.22222,-2,-0.10754
ID37,-0.66667,0.66667,-2,-0.096417
ID38,-0.66667,1.1111,-2,-0.079231
ID39,-0.66667,1.5556,-2,-0.06157
ID40,-0.66667,2,-2,-0.04652
ID41,-0.22222,-2,-2,-0.016351
ID42,-0.22222,-1.5556,-2,-0.021821
ID43,-0.22222,-1.1111,-2,-0.028303
ID44,-0.22222,-0.66667,-2,-0.034657
ID45,-0.22222,-0.22222,-2,-0.038787
ID46,-0.22222,0.22222,-2,-0.038787
ID47,-0.22222,0.66667,-2,-0.034657
ID48,-0.22222,1.1111,-2,-0.028303
ID49,-0.22222,1.5556,-2,-0.021821
ID50,-0.22222,2,-2,-0.016351
ID51,0.22222,-2,-2,0.016351
ID52,0.22222,-1.5556,-2,0.021821
ID53,0.22222,-1.1111,-2,0.028303
ID54,0.22222,-0.66667,-2,0.034657
ID55,0.22222,-0.22222,-2,0.038787
ID56,0.22222,0.22222,-2,0.038787
